iter	RMSE
190	2.024227062
191	2.022563226
192	2.020909492
193	2.01926976
194	2.017677486
195	2.016026911
196	2.014387985
197	2.012815464
198	2.011219059
199	2.009557543
200	2.0078966
201	2.006249454
202	2.004654934
203	2.003014537
204	2.001403204
205	1.99975973
206	1.998162903
207	1.996565603
208	1.994987062
209	1.993367091
210	1.991747593
211	1.990118875
212	1.988495697
213	1.986887101
214	1.985257288
215	1.98365245
216	1.982047819
217	1.980424765
218	1.978838127
219	1.97722515
220	1.975609349
221	1.973998965
222	1.972422914
223	1.97083942
224	1.969234454
225	1.96760271
226	1.965976249
227	1.964371508
228	1.962783028
229	1.96119844
230	1.959646985
231	1.958043254
232	1.956434504
233	1.954904268
234	1.953323508
235	1.951774951
236	1.950207332
237	1.948616883
238	1.947051984
239	1.945518818
240	1.943983294
241	1.942444712
242	1.94089788
243	1.939315007
244	1.937733153
245	1.936157625
246	1.934641568
247	1.933139527
248	1.93162444
249	1.930114348
250	1.928586602
251	1.927090879
252	1.925540915
253	1.924038961
254	1.922468935
255	1.920941833
256	1.919446285
257	1.917915526
258	1.916350657
259	1.914801714
260	1.913287245
261	1.911775241
262	1.910254619
263	1.908718223
264	1.907182476
265	1.905703509
266	1.90415495
267	1.902630642
268	1.901118092
269	1.899610466
270	1.898106727
271	1.896623012
272	1.895095105
273	1.893582515
274	1.892071821
275	1.890564264
276	1.889070475
277	1.887580908
278	1.886051327
279	1.884588239
280	1.88309842
281	1.881607965
282	1.880118745
283	1.878634105
284	1.877194798
285	1.87574653
286	1.874253547
287	1.872783686
288	1.871325417
289	1.869824754
290	1.868349989
291	1.866881749
292	1.865401888
293	1.863914789
294	1.862474954
295	1.861011538
296	1.859503287
297	1.858023014
298	1.85656309
299	1.855056721
300	1.85360267
301	1.852122566
302	1.850713014
303	1.849261818
304	1.847816401
305	1.846370581
306	1.844942804
307	1.843498196
308	1.842092241
309	1.840615791
310	1.839221991
311	1.837740189
312	1.836265983
313	1.834810737
314	1.833378347
315	1.83197734
316	1.830562166
317	1.829158333
318	1.827742421
319	1.826300035
320	1.824856096
321	1.823448683
322	1.822032241
323	1.820606398
324	1.819185725
325	1.817745955
326	1.816336064
327	1.814929772
328	1.813533178
329	1.812146951
330	1.810693708
331	1.809288256
332	1.807847505
333	1.806438137
334	1.80504479
335	1.803652622
336	1.802247013
337	1.800886378
338	1.799450042
339	1.798089918
340	1.79669162
341	1.795278803
342	1.793873092
343	1.792529898
344	1.791174488
345	1.789751367
346	1.788370278
347	1.786971079
348	1.785582223
349	1.784204368
350	1.782809943
351	1.781439166
352	1.780073638
353	1.778685703
354	1.777296131
355	1.775946233
356	1.774556572
357	1.773167842
358	1.771817342
359	1.770485055
360	1.769129105
361	1.767788826
362	1.766405161
363	1.76506065
364	1.763713124
365	1.762345587
366	1.760976436
367	1.75966197
368	1.758306129
369	1.756941569
370	1.755587772
371	1.754255417
372	1.752918425
373	1.751547572
374	1.750247858
375	1.748897755
376	1.747569929
377	1.746215723
378	1.744877561
379	1.743571243
380	1.742237383
381	1.740915119
382	1.739596526
383	1.738256039
384	1.736919073
385	1.735581862
386	1.734243474
387	1.732911571
388	1.73160176
389	1.730261908
390	1.728975146
391	1.727639418
392	1.726311937
393	1.724996964
394	1.723672308
395	1.722362554
396	1.721086677
397	1.719816869
398	1.718516095
399	1.717233475
400	1.715923265
401	1.714661397
402	1.713355382
403	1.712045767
404	1.710737554
405	1.709452793
406	1.70818018
407	1.706866151
408	1.705594884
409	1.704283527
410	1.703052711
411	1.701806121
412	1.700510779
413	1.699233246
414	1.697922059
415	1.696674156
416	1.695396622
417	1.694081868
418	1.692807272
419	1.691551546
420	1.690262993
421	1.688990861
422	1.687682581
423	1.686405299
424	1.68511821
425	1.683835929
426	1.68258704
427	1.681312149
428	1.680046251
429	1.678782145
430	1.677521628
431	1.676237712
432	1.675013817
433	1.673763504
434	1.672524966
435	1.671265404
436	1.669982388
437	1.668725636
438	1.667456527
439	1.666231691
440	1.664995346
441	1.663763118
442	1.662522096
443	1.661247687
444	1.659994848
445	1.65878134
446	1.657546915
447	1.656331305
448	1.655099703
449	1.653858409
450	1.652624074
451	1.651412094
452	1.650234974
453	1.648977224
454	1.647745692
455	1.646541847
456	1.64534167
457	1.644148504
458	1.642923005
459	1.641740802
460	1.640542653
461	1.639317943
462	1.63810313
463	1.636939809
464	1.635771603
465	1.634585192
466	1.633357137
467	1.632134858
468	1.630887096
469	1.629690754
470	1.628500241
471	1.627356511
472	1.626148849
473	1.624930741
474	1.623729852
475	1.622553482
476	1.621403345
477	1.620183004
478	1.618994931
479	1.617812646
480	1.616633467
481	1.615454046
482	1.614258428
483	1.613076847
484	1.611904953
485	1.610690736
486	1.609517126
487	1.608345153
488	1.60716101
489	1.605986773
490	1.604773268
491	1.603598475
492	1.602399127
493	1.601243462
494	1.600054129
495	1.59892087
496	1.597747164
497	1.596602717
498	1.595425447
499	1.594241716
500	1.593064263
501	1.591934571
502	1.590762262
503	1.589626997
504	1.588497164
505	1.587359064
506	1.586222342
507	1.585095696
508	1.583983741
509	1.582828486
510	1.581679596
511	1.580525472
512	1.579354087
513	1.578215593
514	1.577061116
515	1.575908676
516	1.574760328
517	1.573621083
518	1.572516051
519	1.571385076
520	1.570266686
521	1.569122199
522	1.567977266
523	1.56685663
524	1.565740084
525	1.564622112
526	1.5634854
527	1.56235399
528	1.561243325
529	1.560108881
530	1.558970301
531	1.557858399
532	1.556749139
533	1.555644355
534	1.554524433
535	1.553415881
536	1.552274327
537	1.551120029
538	1.550002322
539	1.548880143
540	1.547751024
541	1.546615064
542	1.545484478
543	1.544399969
544	1.543297747
545	1.54216922
546	1.541063203
547	1.539946764
548	1.538841372
549	1.537727453
550	1.536624676
551	1.535521788
552	1.534423115
553	1.533334933
554	1.5322299
555	1.531128157
556	1.530017346
557	1.528909282
558	1.527788142
559	1.526671968
560	1.525581369
561	1.524516624
562	1.523420524
563	1.522362306
564	1.521291357
565	1.520227542
566	1.51914064
567	1.51805656
568	1.516989398
569	1.515911723
570	1.514851839
571	1.513774381
572	1.512692854
573	1.51159149
574	1.510528625
575	1.509488008
576	1.508418313
577	1.507348254
578	1.5062831
579	1.505239354
580	1.504197684
581	1.503139858
582	1.502076769
583	1.501065449
584	1.499979875
585	1.498894914
586	1.497805871
587	1.496746169
588	1.495668909
589	1.494636334
590	1.493630601
591	1.492568465
592	1.491524335
593	1.490460106
594	1.489384837
595	1.488330593
596	1.487285276
597	1.486231707
598	1.485187519
599	1.484122846
600	1.483077496
601	1.48200702
602	1.480981096
603	1.479938426
604	1.478898099
605	1.477861678
606	1.476880402
607	1.475851944
608	1.474833718
609	1.473800708
610	1.472791823
611	1.471772969
612	1.47077286
613	1.469775681
614	1.468760261
615	1.467721043
616	1.466702805
617	1.46565254
618	1.464622876
619	1.463617264
620	1.462576441
621	1.461565032
622	1.460573096
623	1.459613053
624	1.458573599
625	1.457581458
626	1.456592077
627	1.455586396
628	1.454558253
629	1.45355382
630	1.452562922
631	1.451532133
632	1.450509557
633	1.449509642
634	1.448526618
635	1.447542423
636	1.44656089
637	1.44553668
638	1.444524962
639	1.443522382
640	1.442515536
641	1.44156834
642	1.44056217
643	1.439551631
644	1.438572713
645	1.437600372
646	1.436590179
647	1.435617989
648	1.434634579
649	1.433665983
650	1.432677561
651	1.431705632
652	1.430733723
653	1.429785613
654	1.428795103
655	1.42782499
656	1.426821916
657	1.425826216
658	1.424847661
659	1.423879121
660	1.422914082
661	1.421923853
662	1.420955575
663	1.41998886
664	1.41900899
665	1.418066751
666	1.417110573
667	1.4161324
668	1.415190896
669	1.414257719
670	1.413295593
671	1.412341538
672	1.411365926
673	1.410404788
674	1.409451652
675	1.408483218
676	1.407547452
677	1.406604849
678	1.40566255
679	1.404726381
680	1.403784499
681	1.402830375
682	1.40190291
683	1.400963596
684	1.400054381
685	1.399102306
686	1.39813786
687	1.397185968
688	1.39625662
689	1.395329671
690	1.394389513
691	1.393450997
692	1.392524236
693	1.391578153
694	1.390658627
695	1.389733891
696	1.388847012
697	1.387897429
698	1.386966142
699	1.386020059
700	1.385110182
701	1.384188564
702	1.383260327
703	1.382344666
704	1.381452856
705	1.380569153
706	1.379687257
707	1.378771791
708	1.377868825
709	1.376956596
710	1.376062988
711	1.375152865
712	1.374251153
713	1.373321685
714	1.372413919
715	1.371528913
716	1.370635967
717	1.369761861
718	1.368869787
719	1.367960333
720	1.367055346
721	1.366170756
722	1.365312157
723	1.364418222
724	1.363562907
725	1.362646857
726	1.361755758
727	1.360855256
728	1.359968936
729	1.359060257
730	1.358177485
731	1.357316975
732	1.356421417
733	1.355517753
734	1.354646649
735	1.353774651
736	1.352900437
737	1.352023052
738	1.351125451
739	1.350286977
740	1.349398206
741	1.348513187
742	1.347616287
743	1.346734998
744	1.345846635
745	1.344981286
746	1.344110503
747	1.343240905
748	1.34236805
749	1.341523622
750	1.34065159
751	1.339764205
752	1.338902029
753	1.338059034
754	1.33720646
755	1.336335981
756	1.335456314
757	1.334595608
758	1.333742597
759	1.332896666
760	1.332024204
761	1.331167551
762	1.330310524
763	1.329459182
764	1.328612099
765	1.327751365
766	1.326916855
767	1.326064028
768	1.325226636
769	1.324351414
770	1.323474872
771	1.322674519
772	1.321828968
773	1.320984052
774	1.320141116
775	1.319292454
776	1.318459713
777	1.317605372
778	1.316759887
779	1.315957531
780	1.315128396
781	1.314291535
782	1.313440316
783	1.312605241
784	1.311786324
785	1.310947489
786	1.310123664
787	1.309309178
788	1.308454599
789	1.30763755
790	1.30681851
791	1.306038898
792	1.305191715
793	1.304381865
794	1.303534172
795	1.302728535
796	1.301911152
797	1.301090316
798	1.300271242
799	1.299484606
800	1.298674567
801	1.297866401
802	1.297053055
803	1.296211866
804	1.295401114
805	1.294605819
806	1.293797359
807	1.292993483
808	1.292200396
809	1.291393149
810	1.290596455
811	1.28978228
812	1.288970012
813	1.288187539
814	1.287446683
815	1.286642991
816	1.285822922
817	1.28505579
818	1.284259322
819	1.283490724
820	1.282684315
821	1.281875815
822	1.281056083
823	1.280263241
824	1.279479913
825	1.2786695
826	1.277887905
827	1.277093255
828	1.276345373
829	1.27556865
830	1.274770725
831	1.27396262
832	1.273185521
833	1.272418944
834	1.271639496
835	1.270854119
836	1.270044278
837	1.269269141
838	1.268499701
839	1.267701263
840	1.266928978
841	1.266128523
842	1.265386554
843	1.264616381
844	1.26382176
845	1.26306615
846	1.262291368
847	1.261502992
848	1.260742346
849	1.25995853
850	1.259207205
851	1.258457449
852	1.257693567
853	1.256918618
854	1.256170585
855	1.25543252
856	1.254668562
857	1.253905341
858	1.253123069
859	1.252345441
860	1.251587201
861	1.250822458
862	1.250080106
863	1.249323444
864	1.248564097
865	1.247850567
866	1.247077917
867	1.246352313
868	1.245600157
869	1.244851623
870	1.244105458
871	1.243354938
872	1.24261254
873	1.241900648
874	1.241166289
875	1.240408826
876	1.239680574
877	1.238931154
878	1.238203827
879	1.237451268
880	1.23670404
881	1.235941132
882	1.235183982
883	1.23442282
884	1.233692437
885	1.232945027
886	1.232210851
887	1.231484968
888	1.230730812
889	1.229975109
890	1.229259325
891	1.228528654
892	1.227774163
893	1.22707954
894	1.226374204
895	1.225636899
896	1.22491349
897	1.22418727
898	1.223481769
899	1.222765515
900	1.222042975
901	1.221312935
902	1.220587891
903	1.219876834
904	1.219154747
905	1.218432048
906	1.217708733
907	1.216973726
908	1.216241903
909	1.215520074
910	1.214798812
911	1.214084653
912	1.213402353
913	1.212689432
914	1.211984187
915	1.211281706
916	1.210582885
917	1.209858465
918	1.209182319
919	1.208476627
920	1.207759797
921	1.207064917
922	1.206376375
923	1.205698742
924	1.204980579
925	1.204252017
926	1.203544991
927	1.202854855
928	1.202155066
929	1.201440271
930	1.200728046
931	1.200021477
932	1.199317349
933	1.198615579
934	1.197957297
935	1.19726574
936	1.196581914
937	1.195898364
938	1.195222044
939	1.194536615
940	1.193845083
941	1.193139439
942	1.192455678
943	1.191764136
944	1.191084281
945	1.190433238
946	1.189743563
947	1.189045602
948	1.188345731
949	1.187691642
950	1.187043854
951	1.186349724
952	1.185654359
953	1.184971271
954	1.184313465
955	1.183627166
956	1.182956311
957	1.182307548
958	1.181651039
959	1.180990814
960	1.180312325
961	1.179615826
962	1.17892921
963	1.178275282
964	1.177589798
965	1.17694062
966	1.176275537
967	1.175627292
968	1.174946173
969	1.174266107
970	1.173636149
971	1.172973087
972	1.172328624
973	1.171672371
974	1.171015324
975	1.170361221
976	1.16970133
977	1.169026805
978	1.168372716
979	1.167708599
980	1.167045448
981	1.16639595
982	1.165739503
983	1.165073827
984	1.164421848
985	1.163780454
986	1.163130475
987	1.162465064
988	1.161807595
989	1.161149761
990	1.160511633
991	1.159882583
992	1.159258236
993	1.158599038
994	1.15796481
995	1.157314518
996	1.156662408
997	1.156055343
998	1.155444368
999	1.154807025
